province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Kentucky,US,2021-08-08,38.31690743,-83.05092385,POINT(-83.05092385 38.31690743),2715,37,,,21043,Carter,"Carter, Kentucky, US"
Kentucky,US,2021-08-08,37.32533118,-84.92726209,POINT(-84.92726209 37.32533118),1616,39,,,21045,Casey,"Casey, Kentucky, US"
Kentucky,US,2021-08-08,36.89267803,-87.49055367,POINT(-87.49055367 36.89267803),7429,108,,,21047,Christian,"Christian, Kentucky, US"
Kentucky,US,2021-08-08,37.9689263,-84.14615986,POINT(-84.14615986 37.9689263),3350,32,,,21049,Clark,"Clark, Kentucky, US"
Kentucky,US,2021-08-08,37.16451126,-83.712575,POINT(-83.712575 37.16451126),3160,46,,,21051,Clay,"Clay, Kentucky, US"
Kentucky,US,2021-08-08,36.72581156,-85.13377529,POINT(-85.13377529 36.72581156),1491,31,,,21053,Clinton,"Clinton, Kentucky, US"
Kentucky,US,2021-08-08,37.35839237,-88.088260900000023,POINT(-88.0882609 37.35839237),733,25,,,21055,Crittenden,"Crittenden, Kentucky, US"
Kentucky,US,2021-08-08,36.78926125,-85.39050034,POINT(-85.39050034 36.78926125),717,12,,,21057,Cumberland,"Cumberland, Kentucky, US"
Kentucky,US,2021-08-08,37.73028906,-87.090194799999978,POINT(-87.0901948 37.73028906),11955,198,,,21059,Daviess,"Daviess, Kentucky, US"
Kentucky,US,2021-08-08,37.21218923,-86.23955613,POINT(-86.23955613 37.21218923),964,25,,,21061,Edmonson,"Edmonson, Kentucky, US"
Kentucky,US,2021-08-08,38.11624059,-83.09771563,POINT(-83.09771563 38.11624059),1017,2,,,21063,Elliott,"Elliott, Kentucky, US"
Kentucky,US,2021-08-08,37.69241417,-83.95956369,POINT(-83.95956369 37.69241417),1243,12,,,21065,Estill,"Estill, Kentucky, US"
Kentucky,US,2021-08-08,38.0368225,-84.45576892,POINT(-84.45576892 38.0368225),38452,318,,,21067,Fayette,"Fayette, Kentucky, US"
Kentucky,US,2021-08-08,38.36758311,-83.69657514,POINT(-83.69657514 38.36758311),1339,25,,,21069,Fleming,"Fleming, Kentucky, US"
Kentucky,US,2021-08-08,37.56213922,-82.74750924,POINT(-82.74750924 37.56213922),3974,74,,,21071,Floyd,"Floyd, Kentucky, US"
Kentucky,US,2021-08-08,38.2379395,-84.87962551,POINT(-84.87962551 38.2379395),4516,60,,,21073,Franklin,"Franklin, Kentucky, US"
